Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
Bronx ,10,X141 ,Riverdale / Kingsbridge Academy (Middle School / High School 141) ,Secondary School ,"1,513","1,434",106%
,,,,,,,
Bronx ,10,X434 ,Belmont Preparatory High School ,High school ,402,393,102%
,,,,,,,
Bronx ,10,X374 ,Knowledge and Power Preparatory Academy International High School (Kappa) ,High school ,488,479,102%
,,,,,,,
Bronx ,10,X360 ,P.S. 360 ,Elementary ,490,486,101%
,,,,,,,
Bronx ,11,X108 ,P.S. 108 Philip J. Abinanti ,Elementary ,614,357,172%
,,,,,,,
Bronx ,11,X019 ,P.S. 019 Judith K. Weiss ,K-8 ,511,298,171%
,,,,,,,
Bronx ,11,X357 ,Young Voices Academy of the Bronx ,Elementary ,347,212,164%
,,,,,,,
Bronx ,11,X087 ,P.S. 087 Bronx ,Elementary ,594,371,160%
,,,,,,,
Bronx ,11,X169 ,Baychester Academy ,Elementary ,409,266,154%
,,,,,,,
Bronx ,11,X718 ,Bronx Charter School for Better Learning ,Elementary ,230,151,152%
,,,,,,,
Bronx ,11,X509 ,High School of Language and Innovation ,High school ,363,244,149%
,,,,,,,
Bronx ,11,X498 ,P.S./M.S. 11X498 - VAN NEST ACADEMY ,K-8 ,636,442,144%
,,,,,,,
Bronx ,11,X041 ,P.S. 041 Gun Hill Road ,Elementary ,920,682,135%
,,,,,,,
Bronx ,11,X097 ,P.S. 097 Bronx ,Elementary ,659,490,134%
,,,,,,,
Bronx ,11,X468 ,Pelham Academy of Academics and Community Engagement ,Junior High-Intermediate-Middle ,323,243,133%
,,,,,,,
Bronx ,11,X194 ,P.S./M.S. 194 ,K-8 ,"1,326",998,133%
,,,,,,,
Bronx ,11,X567 ,Linden Tree Elementary School ,Elementary ,407,307,133%
,,,,,,,
Bronx ,11,X275 ,High School of Computers and Technology ,High school ,569,433,131%
,,,,,,,
Bronx ,11,X160 ,P.S. 160 Walt Disney ,Elementary ,410,316,130%
,,,,,,,
Bronx ,11,X078 ,P.S. 078 Anne Hutchinson ,Elementary ,824,636,130%
,,,,,,,
Bronx ,11,X175 ,P.S. 175 City Island ,K-8 ,332,269,123%
,,,,,,,
Bronx ,11,X103 ,P.S. 103 Hector Fontanez ,Elementary ,"1,129",939,120%
,,,,,,,
Bronx ,11,X484 ,Bronx Charter School for Better Learning II ,Elementary ,225,196,115%
,,,,,,,
Bronx ,11,X178 ,P.S. 178 - Dr. Selman Waksman ,Elementary ,435,381,114%
,,,,,,,
Bronx ,11,X076 ,P.S. 076 The Bennington School ,Elementary ,956,843,113%
,,,,,,,
Bronx ,11,X021 ,P.S. 021 Philip H. Sheridan ,Elementary ,707,635,111%
,,,,,,,
Bronx ,11,X083 ,P.S. 083 Donald Hertz ,K-8 ,"1,698","1,533",111%
,,,,,,,
Bronx ,11,X089 ,P.S. 089 Bronx ,K-8 ,"1,548","1,413",110%
,,,,,,,
Bronx ,11,X488 ,The Equality Charter School ,Secondary School ,269,250,108%
,,,,,,,
Bronx ,11,X326 ,Bronx Green Middle School ,Junior High-Intermediate-Middle ,395,375,105%
,,,,,,,
Bronx ,11,X096 ,P.S. 096 Richard Rodgers ,Elementary ,952,904,105%
,,,,,,,
Bronx ,11,X106 ,P.S. 106 Parkchester ,Elementary ,"1,100","1,049",105%
,,,,,,,
Bronx ,11,X121 ,P.S. 121 Throop ,Elementary ,917,880,104%
,,,,,,,
Bronx ,11,X153 ,P.S. 153 Helen Keller ,Elementary ,649,623,104%
,,,,,,,
Bronx ,11,X127 ,J.H.S. 127 The Castle Hill ,Junior High-Intermediate-Middle ,806,781,103%
,,,,,,,
Bronx ,11,X542 ,Pelham Preparatory Academy ,High school ,501,494,101%
,,,,,,,
Bronx ,11,X181 ,I.S. 181 Pablo Casals ,Junior High-Intermediate-Middle ,883,875,101%
,,,,,,,
Bronx ,12,X300 ,The School of Science and Applied Learning ,Elementary ,614,438,140%
,,,,,,,
Bronx ,12,X047 ,P.S. 047 John Randolph ,Elementary ,"1,075",769,140%
,,,,,,,
Bronx ,12,X271 ,East Bronx Academy for the Future ,Secondary School ,671,501,134%
,,,,,,,
Bronx ,12,X195 ,P.S. 195 ,Elementary ,964,727,133%
,,,,,,,
Bronx ,12,X196 ,P.S. 196 ,Elementary ,934,734,127%
,,,,,,,
Bronx ,12,X321 ,Crotona Academy High School ,High school ,128,103,124%
,,,,,,,
Bronx ,12,X691 ,Bronx Little School ,Elementary ,298,250,119%
,,,,,,,
Bronx ,12,X531 ,Archer Elementary School ,Elementary ,501,428,117%
,,,,,,,
Bronx ,12,X346 ,South Bronx Classical Charter School ,K-8 ,495,430,115%
,,,,,,,
Bronx ,12,X536 ,P.S. 536 ,Elementary ,431,396,109%
,,,,,,,
Bronx ,12,X242 ,Mott Hall V ,Secondary School ,682,635,107%
,,,,,,,
Bronx ,12,X057 ,P.S. 057 Crescent ,Elementary ,509,474,107%
,,,,,,,
Bronx ,12,X150 ,P.S. 150 Charles James Fox ,Elementary ,857,811,106%
,,,,,,,
Bronx ,12,X286 ,Fannie Lou Hamer Middle School ,Junior High-Intermediate-Middle ,276,266,104%
,,,,,,,
Bronx ,12,X316 ,Kappa III ,Junior High-Intermediate-Middle ,385,380,101%
,,,,,,,
Bronx ,12,X458 ,Samara Community School ,Elementary ,208,206,101%
,,,,,,,
Bronx ,12,X129 ,M.S. 129 Academy for Independent Learning and Leadership ,Junior High-Intermediate-Middle ,517,514,101%
,,,,,,,
Brooklyn ,13,K752 ,Success Academy Fort Greene (Brooklyn 5) ,Elementary ,369,163,226%
,,,,,,,
Brooklyn ,13,K492 ,Academy of Arts and Letters ,K-8 ,519,382,136%
,,,,,,,
Brooklyn ,13,K373 ,P.S. 373 - Brooklyn Transition Center ,High school ,407,305,133%
,,,,,,,
Brooklyn ,13,K009 ,P.S. 009 Teunis G. Bergen ,Elementary ,912,684,133%
,,,,,,,
Brooklyn ,13,K020 ,P.S. 020 Clinton Hill ,Elementary ,457,349,131%
,,,,,,,
Brooklyn ,13,K430 ,Brooklyn Technical High School ,High school ,"5,838","4,502",130%
,,,,,,,
Brooklyn ,13,K595 ,Bedford Academy High School ,High school ,364,299,122%
,,,,,,,
Brooklyn ,13,K011 ,P.S. 011 Purvis J. Behan ,Elementary ,894,798,112%
,,,,,,,
Brooklyn ,13,K077 ,P.S. K077 ,K-12 all grades ,288,274,105%
,,,,,,,
Brooklyn ,13,K483 ,The Urban Assembly School for Law and Justice ,High school ,449,437,103%
,,,,,,,
Brooklyn ,13,K536 ,Community Roots Charter School ,K-8 ,474,463,102%
,,,,,,,
Brooklyn ,13,K008 ,P.S. 008 Robert Fulton ,K-8 ,916,900,102%
,,,,,,,
Brooklyn ,14,K319 ,P.S. 319 ,Early Childhood ,129,43,300%
,,,,,,,
Brooklyn ,14,K577 ,Conselyea Preparatory School ,Junior High-Intermediate-Middle ,502,361,139%
,,,,,,,
Brooklyn ,14,K034 ,P.S. 034 Oliver H. Perry ,Elementary ,482,361,134%
,,,,,,,
