"","dbn","latitude","longitude","postcode","accessibility","district","borough","school_name.x","year","total_enrollment","grade_pk_half_day_full_day","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multiple_race_categories","multiple_race_categories_1","white","white_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index","school_name.y","sharedbuilding","school_name"
"47","02M124","40.714201","-73.995087","10002","Partially Accessible","2","MANHATTAN","P.S. 124 Yung Wing","2018-19","675","59","95","106","116","106","100","93","0","0","0","0","0","0","0","336","0.498","339","0.502","631","0.935","0","0.0","14","0.021","20","0.03","10","0.015","86","0.127","172","0.255","354","0.524","0.599","P.S. 124 Yung Wing",NA,NA
"48","02M126","40.710729","-73.996631","10038","Not Accessible","2","MANHATTAN","P.S. 126 Jacob August Riis","2018-19","712","21","53","66","57","55","62","61","115","114","108","0","0","0","0","338","0.475","374","0.525","458","0.643","62","0.087","122","0.171","23","0.032","47","0.066","148","0.208","105","0.147","544","0.764","0.753","P.S. 126 Jacob August Riis","0","Manhattan Academy of Technology/Jacob Riis (PS 126) (02M126)"
"49","02M130","40.718903","-73.998438","10013","Partially Accessible","2","MANHATTAN","P.S. 130 Hernando De Soto","2018-19","858","35","119","138","116","119","156","175","0","0","0","0","0","0","0","405","0.472","453","0.528","749","0.873","7","0.008","48","0.056","30","0.035","24","0.028","139","0.162","137","0.16","385","0.449","0.545","P.S. 130 Hernando De Soto",NA,NA
"50","02M131",NA,NA,NA,NA,NA,NA,"M.S. 131","2018-19","401","0","0","0","0","0","0","0","101","134","166","0","0","0","0","159","0.397","242","0.603","320","0.798","26","0.065","45","0.112","3","0.007","7","0.017","99","0.247","101","0.252","357","0.89","0.831",NA,NA,NA
"51","02M135",NA,NA,NA,NA,NA,NA,"The Urban Assembly School for Emergency Management","2018-19","265","0","0","0","0","0","0","0","0","0","0","78","75","56","56","141","0.532","124","0.468","15","0.057","76","0.287","159","0.6","7","0.026","8","0.03","56","0.211","9","0.034","223","0.842","0.805",NA,NA,NA
"52","02M139",NA,NA,NA,NA,NA,NA,"Stephen T. Mather Building Arts & Craftsmanship Hi","2018-19","401","0","0","0","0","0","0","0","0","0","0","117","114","92","78","146","0.364","255","0.636","17","0.042","106","0.264","253","0.631","8","0.02","17","0.042","101","0.252","29","0.072","318","0.793","0.816",NA,NA,NA
"53","02M150","40.718219","-74.010519","10013","Not Accessible","2","MANHATTAN","P.S. 150","2018-19","189","18","28","30","29","30","29","25","0","0","0","0","0","0","0","90","0.476","99","0.524","39","0.206","1","0.005","18","0.095","17","0.09","114","0.603","21","0.111","4","0.021","33","0.175","0.136","P.S. 150",NA,NA
"54","02M151","40.777911","-73.947757","10128","Not Accessible","2","MANHATTAN","Yorkville Community School","2018-19","486","58","67","59","79","70","60","93","0","0","0","0","0","0","0","251","0.516","235","0.484","32","0.066","72","0.148","114","0.235","30","0.062","238","0.49","89","0.183","20","0.041","184","0.379","0.368","Yorkville Community School",NA,NA
"55","02M158","40.770419","-73.951135","10075","Partially Accessible","2","MANHATTAN","P.S. 158 Bayard Taylor","2018-19","796","72","135","135","109","120","124","101","0","0","0","0","0","0","0","379","0.476","417","0.524","103","0.129","16","0.02","64","0.08","52","0.065","561","0.705","117","0.147","43","0.054","93","0.117","0.108","P.S. 158 Bayard Taylor",NA,NA
"56","02M167",NA,NA,NA,NA,NA,NA,"J.H.S. 167 Robert F. Wagner","2018-19","1379","0","0","0","0","0","0","0","464","448","467","0","0","0","0","623","0.452","756","0.548","251","0.182","94","0.068","226","0.164","75","0.054","733","0.532","238","0.173","41","0.03","419","0.304","0.283",NA,NA,NA
"57","02M177",NA,NA,NA,NA,NA,NA,"Yorkville East Middle School","2018-19","230","0","0","0","0","0","0","0","78","76","76","0","0","0","0","119","0.517","111","0.483","15","0.065","20","0.087","53","0.23","9","0.039","133","0.578","59","0.257","3","0.013","69","0.3","0.264",NA,NA,NA
"58","02M183","40.763736","-73.95815","10065","Not Accessible","2","MANHATTAN","P.S. 183 Robert L. Stevenson","2018-19","554","40","99","89","93","78","83","72","0","0","0","0","0","0","0","269","0.486","285","0.514","88","0.159","15","0.027","47","0.085","33","0.06","371","0.67","88","0.159","34","0.061","66","0.119","0.063","P.S. 183 Robert L. Stevenson",NA,NA
"59","02M198","40.784826","-73.949611","10128","Not Accessible","2","MANHATTAN","P.S. 198 Isador E. Ida Straus","2018-19","488","56","80","67","75","90","57","63","0","0","0","0","0","0","0","249","0.51","239","0.49","111","0.227","51","0.105","104","0.213","21","0.043","201","0.412","104","0.213","29","0.059","197","0.404","0.36","P.S. 198 Isador E. Ida Straus",NA,NA
"60","02M212","40.761448","-73.988019","10036","Not Accessible","2","MANHATTAN","P.S. 212 Midtown West","2018-19","363","36","53","52","61","54","57","50","0","0","0","0","0","0","0","189","0.521","174","0.479","60","0.165","25","0.069","85","0.234","25","0.069","168","0.463","40","0.11","8","0.022","74","0.204","0.245","P.S. 212 Midtown West",NA,NA
"61","02M217","40.763894","-73.947916","10044","Fully Accessible","2","MANHATTAN","P.S./I.S. 217 Roosevelt Island","2018-19","617","31","95","89","68","73","85","88","29","31","28","0","0","0","0","317","0.514","300","0.486","179","0.29","83","0.135","88","0.143","43","0.07","224","0.363","84","0.136","86","0.139","204","0.331","0.286","P.S./I.S. 217 Roosevelt Island","1","P.S./I.S. 217 Roosevelt Island (02M217)"
